timestamp,open,high,low,close,volume,datetime
1744099200000,79488.0,80081.9,78822.8,79996.5,2345.545667,2025-04-08 08:00:00+00:00
1744113600000,79996.5,80379.8,78167.1,78492.2,3668.3994,2025-04-08 12:00:00+00:00
1744128000000,78492.2,78523.4,76350.1,76858.3,3967.520772,2025-04-08 16:00:00+00:00
1744142400000,76858.3,77284.9,76242.2,76322.1,1864.132433,2025-04-08 20:00:00+00:00
1744156800000,76322.1,76855.2,74606.7,75049.5,3561.675271,2025-04-09 00:00:00+00:00
1744171200000,75049.5,77950.1,74973.1,77691.5,3343.658552,2025-04-09 04:00:00+00:00
1744185600000,77691.5,77872.6,75779.4,76231.2,2934.461666,2025-04-09 08:00:00+00:00
1744200000000,76231.2,78331.0,76023.0,77261.9,4812.670062,2025-04-09 12:00:00+00:00
1744214400000,77261.9,82995.0,77136.6,82336.0,7245.54695,2025-04-09 16:00:00+00:00
1744228800000,82336.0,83590.4,82008.7,82617.9,2245.460501,2025-04-09 20:00:00+00:00
1744243200000,82617.9,82742.7,81468.7,81782.0,1710.331918,2025-04-10 00:00:00+00:00
1744257600000,81782.0,82345.4,81308.3,81594.8,1865.627637,2025-04-10 04:00:00+00:00
1744272000000,81594.8,82117.7,81342.0,81876.0,1952.770672,2025-04-10 08:00:00+00:00
1744286400000,81876.0,82487.3,78613.9,78760.5,4198.96497,2025-04-10 12:00:00+00:00
1744300800000,78760.5,80036.9,78465.3,79640.1,3456.379012,2025-04-10 16:00:00+00:00
1744315200000,79640.1,80038.8,79372.8,79597.8,1302.445159,2025-04-10 20:00:00+00:00
1744329600000,79597.8,80907.8,78971.4,80845.1,1974.733365,2025-04-11 00:00:00+00:00
1744344000000,80845.1,81442.3,80517.6,81260.0,1680.706122,2025-04-11 04:00:00+00:00
1744358400000,81260.0,82988.9,80757.3,82140.6,2940.52434,2025-04-11 08:00:00+00:00
1744372800000,82140.6,83333.3,81346.7,82529.6,3663.033025,2025-04-11 12:00:00+00:00
1744387200000,82529.6,84217.6,82006.5,83855.6,2335.453855,2025-04-11 16:00:00+00:00
1744401600000,83855.6,84297.4,83158.3,83418.3,1057.797263,2025-04-11 20:00:00+00:00
1744416000000,83418.3,83576.7,82789.7,82979.9,903.114972,2025-04-12 00:00:00+00:00
1744430400000,82979.9,83824.1,82853.4,83721.1,1081.917601,2025-04-12 04:00:00+00:00
1744444800000,83721.1,84029.9,83304.6,83523.0,804.480014,2025-04-12 08:00:00+00:00
1744459200000,83523.0,85406.1,83466.7,85010.0,2358.361498,2025-04-12 12:00:00+00:00
1744473600000,85010.0,85259.9,84429.6,84932.3,1457.232791,2025-04-12 16:00:00+00:00
1744488000000,84932.3,85914.7,84869.5,85280.0,1094.799889,2025-04-12 20:00:00+00:00
1744502400000,85280.0,86111.7,84722.1,85421.6,1569.547754,2025-04-13 00:00:00+00:00
1744516800000,85421.6,85431.4,84397.4,84408.8,1358.557055,2025-04-13 04:00:00+00:00
1744531200000,84408.8,84950.1,84208.5,84522.7,1271.304186,2025-04-13 08:00:00+00:00
1744545600000,84522.7,84690.6,83476.2,83849.4,1764.831124,2025-04-13 12:00:00+00:00
1744560000000,83849.4,85008.7,83035.0,83981.4,2321.189846,2025-04-13 16:00:00+00:00
1744574400000,83981.4,84436.4,83032.8,83753.5,1770.196365,2025-04-13 20:00:00+00:00
1744588800000,83753.5,85549.4,83678.4,84572.2,2406.260746,2025-04-14 00:00:00+00:00
1744603200000,84572.2,85108.9,84220.1,84586.5,1341.763974,2025-04-14 04:00:00+00:00
1744617600000,84586.5,84965.3,84255.6,84929.8,1282.802206,2025-04-14 08:00:00+00:00
