timestamp,open,high,low,close,volume,datetime
1744088400000,80299.0,80311.2,79535.4,79862.4,408.858675,2025-04-08 05:00:00+00:00
1744092000000,79862.4,79862.4,79279.1,79449.5,492.041296,2025-04-08 06:00:00+00:00
1744095600000,79449.5,79706.2,79221.3,79488.0,646.851167,2025-04-08 07:00:00+00:00
1744099200000,79488.0,79528.1,78943.1,79158.5,656.92604,2025-04-08 08:00:00+00:00
1744102800000,79158.5,79235.1,78861.7,78903.3,592.300683,2025-04-08 09:00:00+00:00
1744106400000,78903.3,79185.4,78822.8,79016.9,350.209622,2025-04-08 10:00:00+00:00
1744110000000,79016.9,80081.9,78973.3,79996.5,746.109322,2025-04-08 11:00:00+00:00
1744113600000,79996.5,80140.0,79575.1,79840.1,613.989549,2025-04-08 12:00:00+00:00
1744117200000,79840.1,80379.8,79384.1,79896.2,1166.789036,2025-04-08 13:00:00+00:00
1744120800000,79896.2,80260.0,78470.2,78476.6,1149.047312,2025-04-08 14:00:00+00:00
1744124400000,78476.6,78850.2,78167.1,78492.2,738.573503,2025-04-08 15:00:00+00:00
1744128000000,78492.2,78523.4,77354.2,77412.9,994.59735,2025-04-08 16:00:00+00:00
1744131600000,77412.9,77558.7,76555.1,77341.4,1143.438276,2025-04-08 17:00:00+00:00
1744135200000,77341.4,77991.0,77071.3,77249.6,776.550442,2025-04-08 18:00:00+00:00
1744138800000,77249.6,77353.3,76350.1,76858.3,1052.934704,2025-04-08 19:00:00+00:00
1744142400000,76858.3,77199.9,76601.2,77129.8,551.569034,2025-04-08 20:00:00+00:00
1744146000000,77129.8,77284.9,76735.7,77106.9,245.640182,2025-04-08 21:00:00+00:00
1744149600000,77106.9,77141.1,76242.2,76728.0,698.813678,2025-04-08 22:00:00+00:00
1744153200000,76728.0,76793.0,76300.0,76322.1,368.109539,2025-04-08 23:00:00+00:00
1744156800000,76322.1,76855.2,75925.9,76514.6,660.38156,2025-04-09 00:00:00+00:00
1744160400000,76514.6,76591.7,74606.7,76062.3,1405.403496,2025-04-09 01:00:00+00:00
1744164000000,76062.3,76445.3,75555.7,75656.7,775.540541,2025-04-09 02:00:00+00:00
1744167600000,75656.7,75863.2,75001.95,75049.5,720.349674,2025-04-09 03:00:00+00:00
1744171200000,75049.5,76910.1,74973.1,76421.2,967.124348,2025-04-09 04:00:00+00:00
1744174800000,76421.2,76827.1,76215.3,76732.0,520.993381,2025-04-09 05:00:00+00:00
