timestamp,close,signal,score,base_score,boost,active_boosters,oi_3d_chg,oi_7d_chg,fr,fr_cum_3d,oi_surge,fr_extreme_long,fr_extreme_short,liquidation_risk,enhanced_signal,max_move_pct,up_move_pct,down_move_pct,is_tp,is_fp
2025-04-16 12:00:00+00:00,83755.3,LOW,21.98,21.98,0.0,,-5.76,-3.02,-9.1e-05,7.5e-05,False,False,False,False,LOW,1.814,1.814,0.305,True,False
2025-04-16 13:00:00+00:00,83730.9,LOW,27.07,27.07,0.0,,-5.76,-3.02,-9.1e-05,7.5e-05,False,False,False,False,LOW,2.173,2.173,0.543,True,False
2025-04-16 14:00:00+00:00,84609.1,LOW,35.65,35.65,0.0,,-5.76,-3.02,-9.1e-05,7.5e-05,False,False,False,False,LOW,1.575,1.112,1.575,True,False
2025-04-16 15:00:00+00:00,84851.6,LOW,35.42,35.42,0.0,,-5.76,-3.02,-9.1e-05,7.5e-05,False,False,False,False,LOW,1.856,0.823,1.856,True,False
2025-04-16 16:00:00+00:00,85043.7,LOW,31.91,31.91,0.0,,-5.76,-3.02,-1.9e-05,6e-05,False,False,False,False,LOW,2.078,0.595,2.078,True,False
2025-04-16 17:00:00+00:00,83294.5,LOW,43.1,43.1,0.0,,-5.76,-3.02,-1.9e-05,6e-05,False,False,False,False,LOW,1.66,1.66,0.019,True,False
2025-04-16 18:00:00+00:00,84030.9,LOW,42.45,42.45,0.0,,-5.76,-3.02,-1.9e-05,6e-05,False,False,False,False,LOW,0.769,0.769,0.268,False,True
2025-04-16 19:00:00+00:00,84333.2,LOW,39.3,39.3,0.0,,-5.76,-3.02,-1.9e-05,6e-05,False,False,False,False,LOW,0.408,0.408,0.363,False,True
2025-04-16 20:00:00+00:00,84297.4,LOW,37.63,37.63,0.0,,-5.76,-3.02,-1.9e-05,6e-05,False,False,False,False,LOW,0.45,0.45,0.424,False,True
2025-04-16 21:00:00+00:00,84549.2,LOW,36.68,36.68,0.0,,-5.76,-3.02,-1.9e-05,6e-05,False,False,False,False,LOW,0.72,0.046,0.72,False,True
